target_epsilon,target_delta,beta,do_floor,game_id,size_of_game,num_discard_cards,hand_p1,hand_p2,v_inf,v_1_inf,emp_sample_complexity,emp_simulation_complexity
0.01,0.05,1.1,True,cc07b33a-32ef-451f-9297-f23bd923a041,100,2,"['H2', 'C3', 'D4', 'H13', 'C13']","['D3', 'H10', 'S10', 'S12', 'H14']",0.8388376964904543,55.53256416586069,215802,15113407
0.01,0.05,1.1,True,cc07b33a-32ef-451f-9297-f23bd923a041,100,3,"['H2', 'C3', 'D4', 'H13', 'C13']","['D3', 'H10', 'S10', 'S12', 'H14']",0.8216701595867377,62.59409838652891,215802,16776535
0.01,0.05,1.1,True,9e3ff71c-1523-4967-8d54-340e27ad49c7,100,2,"['D4', 'D5', 'C10', 'H11', 'S13']","['S7', 'H10', 'H13', 'C13', 'C14']",0.8615808806171685,48.39764150752509,237383,13317449
0.01,0.05,1.1,True,9e3ff71c-1523-4967-8d54-340e27ad49c7,100,3,"['D4', 'D5', 'C10', 'H11', 'S13']","['S7', 'H10', 'H13', 'C13', 'C14']",0.847281258725977,57.612375438575214,237383,15604363
0.01,0.05,1.1,True,76fe399b-6771-478e-af2e-f72085c3ebff,100,2,"['S6', 'D8', 'H11', 'H12', 'H13']","['C3', 'H4', 'C5', 'C8', 'D14']",0.9520760911939632,80.69278220905652,237383,21599011
0.01,0.05,1.1,True,76fe399b-6771-478e-af2e-f72085c3ebff,100,3,"['S6', 'D8', 'H11', 'H12', 'H13']","['C3', 'H4', 'C5', 'C8', 'D14']",0.8593096614017409,72.75472301472638,237383,19611079
0.01,0.05,1.1,True,ab0993b4-0ab2-4fe7-9159-ec05dd54a99d,100,2,"['C5', 'D5', 'H7', 'S7', 'C7']","['C4', 'S9', 'D9', 'D10', 'S14']",0.8712015442702958,59.83519689850959,237383,16085418
0.01,0.05,1.1,True,ab0993b4-0ab2-4fe7-9159-ec05dd54a99d,100,3,"['C5', 'D5', 'H7', 'S7', 'C7']","['C4', 'S9', 'D9', 'D10', 'S14']",0.9187581493037428,57.260938399155016,237383,15557089
0.01,0.05,1.1,True,b9db9f5f-e0ab-4f3f-beaf-c28424aaabdd,100,2,"['H2', 'D2', 'C8', 'H10', 'S10']","['S5', 'C5', 'C7', 'D13', 'H14']",0.9038351807111898,70.86518255924226,237383,19024777
0.01,0.05,1.1,True,b9db9f5f-e0ab-4f3f-beaf-c28424aaabdd,100,3,"['H2', 'D2', 'C8', 'H10', 'S10']","['S5', 'C5', 'C7', 'D13', 'H14']",0.9003464895773895,67.20505766732632,237383,18076941
0.01,0.05,1.1,True,f21ee47c-ce34-4c61-9455-37711034c14c,100,2,"['H6', 'H7', 'H11', 'H12', 'C14']","['C2', 'C3', 'S5', 'S8', 'C13']",0.9004601245614248,84.63676329147552,237383,22765204
0.01,0.05,1.1,True,f21ee47c-ce34-4c61-9455-37711034c14c,100,3,"['H6', 'H7', 'H11', 'H12', 'C14']","['C2', 'C3', 'S5', 'S8', 'C13']",0.8429756340370771,77.18849432128593,215802,20766942
0.01,0.05,1.1,True,73490bb7-1825-4096-a00d-2bf4ba3cb042,100,2,"['S2', 'S5', 'C8', 'H9', 'D13']","['H4', 'C7', 'S8', 'C12', 'S13']",0.8398008420104112,62.81742187257614,215802,16840998
0.01,0.05,1.1,True,73490bb7-1825-4096-a00d-2bf4ba3cb042,100,3,"['S2', 'S5', 'C8', 'H9', 'D13']","['H4', 'C7', 'S8', 'C12', 'S13']",0.7857639934319951,62.5914680204324,215802,16794224
